No.;Time;;;
525;20.244.406;20,244406;20,273945;0,029539
526;20.273.945;20,273945;20,321096;0,047151
527;20.321.096;20,321096;20,327904;0,006808
528;20.327.904;20,327904;20,328;9,6E-05
529;20.328.000;20,328;20,343025;0,015025
530;20.343.025;20,343025;20,343025;0
531;20.343.025;20,343025;20,345276;0,002251
532;20.345.276;20,345276;20,345725;0,000449
533;20.345.725;20,345725;20,362979;0,017254
534;20.362.979;20,362979;20,362979;0
535;20.362.979;20,362979;20,363349;0,00037
536;20.363.349;20,363349;20,363439;9E-05
537;20.363.439;20,363439;20,363524;8,5E-05
538;20.363.524;20,363524;20,363524;0
539;20.363.524;20,363524;20,367595;0,004071
540;20.367.595;20,367595;20,367595;0
541;20.367.595;20,367595;20,367784;0,000189
542;20.367.784;20,367784;20,372715;0,004931
543;20.372.715;20,372715;20,372715;0
544;20.372.715;20,372715;20,373347;0,000632
545;20.373.347;20,373347;20,373347;0
546;20.373.347;20,373347;20,373507;0,00016
547;20.373.507;20,373507;20,373763;0,000256
548;20.373.763;20,373763;20,373763;0
549;20.373.763;20,373763;20,373851;8,8E-05
550;20.373.851;20,373851;20,37709;0,003239
551;20.377.090;20,37709;20,37709;0
552;20.377.090;20,37709;20,377306;0,000216
553;20.377.306;20,377306;20,387496;0,01019
554;20.387.496;20,387496;20,39047;0,002974
555;20.390.470;20,39047;20,39047;0
556;20.390.470;20,39047;20,3912;0,00073
557;20.391.200;20,3912;20,391288;8,8E-05
558;20.391.288;20,391288;20,391382;9,4E-05
559;20.391.382;20,391382;20,39298;0,001598
560;20.392.980;20,39298;20,39298;0
561;20.392.980;20,39298;20,393189;0,000209
562;20.393.189;20,393189;20,397471;0,004282
563;20.397.471;20,397471;20,400018;0,002547
564;20.400.018;20,400018;20,400018;0
565;20.400.018;20,400018;20,405507;0,005489
566;20.405.507;20,405507;20,405507;0
567;20.405.507;20,405507;20,405964;0,000457
568;20.405.964;20,405964;20,405964;0
569;20.405.964;20,405964;20,40611;0,000146
570;20.406.110;20,40611;20,406612;0,000502
571;20.406.612;20,406612;20,406612;0
572;20.406.612;20,406612;20,406724;0,000112
573;20.406.724;20,406724;20,407276;0,000552
574;20.407.276;20,407276;20,407276;0
575;20.407.276;20,407276;20,407402;0,000126
576;20.407.402;20,407402;20,40829;0,000888
577;20.408.290;20,40829;20,40829;0
578;20.408.290;20,40829;20,408407;0,000117
579;20.408.407;20,408407;20,408788;0,000381
580;20.408.788;20,408788;20,408788;0
581;20.408.788;20,408788;20,408898;0,00011
582;20.408.898;20,408898;20,40986;0,000962
583;20.409.860;20,40986;20,40986;0
584;20.409.860;20,40986;20,410004;0,000144
585;20.410.004;20,410004;20,410354;0,00035
586;20.410.354;20,410354;20,410354;0
587;20.410.354;20,410354;20,410452;9,8E-05
588;20.410.452;20,410452;20,411347;0,000895
589;20.411.347;20,411347;20,411347;0
590;20.411.347;20,411347;20,411473;0,000126
591;20.411.473;20,411473;20,41192;0,000447
592;20.411.920;20,41192;20,41192;0
593;20.411.920;20,41192;20,412021;0,000101
594;20.412.021;20,412021;20,413432;0,001411
595;20.413.432;20,413432;20,413432;0
596;20.413.432;20,413432;20,413622;0,00019
597;20.413.622;20,413622;20,413972;0,00035
598;20.413.972;20,413972;20,413972;0
599;20.413.972;20,413972;20,414069;9,7E-05
600;20.414.069;20,414069;20,414687;0,000618
601;20.414.687;20,414687;20,414687;0
602;20.414.687;20,414687;20,414787;1E-04
603;20.414.787;20,414787;20,415691;0,000904
604;20.415.691;20,415691;20,415691;0
605;20.415.691;20,415691;20,415822;0,000131
606;20.415.822;20,415822;20,416225;0,000403
607;20.416.225;20,416225;20,416225;0
608;20.416.225;20,416225;20,416321;9,6E-05
609;20.416.321;20,416321;20,417237;0,000916
610;20.417.237;20,417237;20,417237;0
611;20.417.237;20,417237;20,41738;0,000143
612;20.417.380;20,41738;20,418083;0,000703
613;20.418.083;20,418083;20,418083;0
614;20.418.083;20,418083;20,418083;0
615;20.418.083;20,418083;20,418083;0
616;20.418.083;20,418083;20,418256;0,000173
617;20.418.256;20,418256;20,419184;0,000928
618;20.419.184;20,419184;20,419184;0
619;20.419.184;20,419184;20,419184;0
620;20.419.184;20,419184;20,419184;0
621;20.419.184;20,419184;20,419407;0,000223
622;20.419.407;20,419407;20,421171;0,001764
623;20.421.171;20,421171;20,421171;0
624;20.421.171;20,421171;20,421171;0
625;20.421.171;20,421171;20,421171;0
626;20.421.171;20,421171;20,421429;0,000258
627;20.421.429;20,421429;20,422051;0,000622
628;20.422.051;20,422051;20,422051;0
629;20.422.051;20,422051;20,422051;0
630;20.422.051;20,422051;20,422051;0
631;20.422.051;20,422051;20,422235;0,000184
632;20.422.235;20,422235;20,422766;0,000531
